JAVA: column from run 2026-09-08T17:11, substrait-java fff63906

aggregate_grouping_field_shared_by_sets        Struct{nullable=false, fields=[Str{nullable=false}, I64{nullable=true}]}
setop_minus_multiset                           Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}]}
setop_minus_primary_all                        Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}]}
setop_minus_primary                            Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=false}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}]}
setop_union_all                                Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}]}
setop_union_distinct                           Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}, I64{nullable=true}]}
stringlen_declared                             Struct{nullable=false, fields=[VarChar{nullable=false, length=10}, FixedChar{nullable=false, length=5}, FixedBinary{nullable=false, length=4}, Str{nullable=false}]}
virtual_table_emit_mapping                     Struct{nullable=false, fields=[Str{nullable=false}]}
virtual_table_literal_type_differs_from_schema ERROR: IllegalArgumentException: Row field type (I8{nullable=false}) does not match schema field type (I32{nullab
virtual_table_row_null_in_required_column      ERROR: IllegalArgumentException: Row field type (I32{nullable=true}) does not match schema field type (I32{nullab
virtual_table_row_nullable_in_required_column  ERROR: IllegalArgumentException: Row field type (I32{nullable=true}) does not match schema field type (I32{nullab
virtual_table_row_required_in_nullable_column  ERROR: IllegalArgumentException: Row field type (I32{nullable=false}) does not match schema field type (I32{nulla
window_bound_offset_expr                       Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=true}]}
window_bound_offset                            Struct{nullable=false, fields=[I64{nullable=false}, I64{nullable=true}]}
window_output_order                            Struct{nullable=false, fields=[I64{nullable=false}, Str{nullable=false}, Bool{nullable=false}, I64{nullable=true}, FP64{nullable=true}]}
